,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
1269,segedro01,2016,LAN,Rob,Segedin,220,74,R,NL,40.0,17.0,73.0,2.0,12.0,0.0,9.0,2.0,1.0,0.0,6.0,22.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,6.0,0.0,7.0,0.0,7.0,13.0,0.0,2016-08-07,USA,of,['of'],0.2328767123287671,0.30120481927710846,12.0,0.3698630136986301,0.6710678329757386,0.3493150684931507,0.0425531914893617,0.07317073170731707,0.09022556390977443,0.0,0.18280000000000002,0.1015023607636076
180,bussni01,2016,LAA,Nick,Buss,190,74,L,AL,36.0,16.0,81.0,1.0,8.0,2.0,7.0,7.0,1.0,1.0,6.0,24.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,5.0,31.0,1.0,2013-09-14,USA,of,"['lf', 'of']",0.19753086419753085,0.24719101123595505,7.0,0.345679012345679,0.592870023581634,0.2962962962962963,0.02127659574468085,0.056910569105691054,0.06015037593984962,0.03225806451612903,0.2116,0.09879432637912007
406,elmorja01,2016,MIL,Jake,Elmore,180,70,R,NL,59.0,17.0,78.0,0.0,4.0,2.0,7.0,2.0,0.0,3.0,17.0,17.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,14.0,2.0,4.0,20.0,0.0,2012-08-11,USA,of,"['lf', 'of']",0.21794871794871795,0.3711340206185567,15.0,0.24358974358974358,0.6147237642083003,0.3269230769230769,0.0,0.056910569105691054,0.03007518796992481,0.03225806451612903,0.20080000000000003,0.08959031322177624
1107,quinnro01,2016,PHI,Roman,Quinn,170,70,B,NL,15.0,15.0,57.0,0.0,6.0,5.0,10.0,4.0,0.0,1.0,8.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,15.0,0.0,2016-09-11,USA,of,"['lf', 'of']",0.2631578947368421,0.373134328358209,11.0,0.3333333333333333,0.7064676616915423,0.39473684210526316,0.0,0.08130081300813008,0.045112781954887216,0.08064516129032258,0.1252,0.07534480891449709
128,blashja01,2016,SDN,Jabari,Blash,235,77,R,NL,38.0,12.0,71.0,3.0,5.0,1.0,7.0,2.0,0.0,0.0,11.0,34.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,21.0,0.0,2016-04-04,V.I.,of,"['rf', 'of']",0.16901408450704225,0.2976190476190476,7.0,0.323943661971831,0.6215627095908787,0.2535211267605634,0.06382978723404255,0.056910569105691054,0.03759398496240601,0.016129032258064516,0.17560000000000003,0.07515407825632679
780,loughda01,2016,PHI,David,Lough,175,70,L,NL,30.0,16.0,67.0,0.0,4.0,1.0,6.0,3.0,1.0,2.0,9.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,11.0,23.0,0.0,2012-09-01,USA,of,"['lf', 'rf', 'of']",0.23880597014925373,0.34177215189873417,12.0,0.31343283582089554,0.6552049877196298,0.35820895522388063,0.0,0.04878048780487805,0.03007518796992481,0.016129032258064516,0.1612,0.0730548185169878
990,pattejo03,2016,COL,Jordan,Patterson,215,76,L,NL,10.0,8.0,18.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0,2016-09-08,USA,of,[],0.4444444444444444,0.47368421052631576,7.0,0.5,0.9736842105263157,0.6666666666666666,0.0,0.008130081300813009,0.015037593984962405,0.0,0.1,0.0689834341952442
1271,selskst01,2016,CIN,Steve,Selsky,205,72,R,NL,24.0,16.0,51.0,2.0,7.0,1.0,9.0,2.0,0.0,0.0,2.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,11.0,15.0,0.0,2016-05-20,USA,of,"['rf', 'of']",0.3137254901960784,0.33962264150943394,12.0,0.47058823529411764,0.8102108768035516,0.47058823529411764,0.0425531914893617,0.07317073170731707,0.05263157894736842,0.016129032258064516,0.10360000000000001,0.06786553894052937
1251,schaflo01,2016,MIN,Logan,Schafer,200,73,L,AL,26.0,15.0,63.0,0.0,1.0,0.0,8.0,3.0,1.0,0.0,8.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,8.0,22.0,1.0,2011-09-02,USA,of,"['lf', 'of']",0.23809523809523808,0.3424657534246575,11.0,0.31746031746031744,0.659926070884975,0.35714285714285715,0.0,0.06504065040650407,0.007518796992481203,0.0,0.1468,0.06308029830674247
140,bournmi01,2016,BAL,Michael,Bourn,190,71,L,AL,24.0,13.0,46.0,2.0,8.0,2.0,5.0,1.0,0.0,0.0,6.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,13.0,24.0,0.0,2006-07-30,USA,of,"['lf', 'rf', 'of']",0.2826086956521739,0.3584905660377358,10.0,0.43478260869565216,0.793273174733388,0.42391304347826086,0.0425531914893617,0.04065040650406504,0.06015037593984962,0.03225806451612903,0.1,0.05995250819276663
