,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
1220,rutlejo01,2016,BOS,Josh,Rutledge,190,73,R,AL,28.0,13.0,49.0,0.0,3.0,2.0,9.0,6.0,0.0,0.0,6.0,19.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.2653061224489796,0.34545454545454546,7.0,0.3877551020408163,0.7332096474953618,0.39795918367346944,0.0,0.07317073170731707,0.022556390977443608,0.03225806451612903,0.1,0.05259443708743592
1212,ruizri01,2016,ATL,Rio,Ruiz,230,73,L,NL,5.0,2.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.2857142857142857,0.2857142857142857,1.0,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.0,0.008130081300813009,0.015037593984962405,0.016129032258064516,0.1,0.04678681361152685
1396,valaipa01,2016,COL,Pat,Valaika,200,71,R,NL,13.0,5.0,19.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.2631578947368421,0.2631578947368421,3.0,0.47368421052631576,0.7368421052631579,0.39473684210526316,0.02127659574468085,0.024390243902439025,0.015037593984962405,0.0,0.1,0.04554412757373455
983,paredji01,2016,TOR,Jimmy,Paredes,200,75,B,AL,7.0,4.0,15.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3b,[],0.26666666666666666,0.35294117647058826,2.0,0.5333333333333333,0.8862745098039215,0.4,0.02127659574468085,0.016260162601626018,0.015037593984962405,0.0,0.1,0.04525743523312693
706,jonesja07,2016,DET,JaCoby,Jones,205,74,R,AL,13.0,6.0,28.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,5.0,2.0,3b,[],0.21428571428571427,0.21428571428571427,3.0,0.32142857142857145,0.5357142857142857,0.32142857142857145,0.0,0.024390243902439025,0.015037593984962405,0.0,0.1,0.036085640931597295
892,moncayo01,2016,BOS,Yoan,Moncada,205,74,B,AL,8.0,4.0,19.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3b,[],0.21052631578947367,0.25,3.0,0.2631578947368421,0.513157894736842,0.3157894736842105,0.0,0.024390243902439025,0.007518796992481203,0.0,0.1,0.03476985145791308
24,alberha01,2016,TEX,Hanser,Alberto,215,71,R,AL,35.0,8.0,56.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,6.0,11.0,9.0,0.0,0.0,0.0,0.0,6.0,3b,['3b'],0.14285714285714285,0.14285714285714285,7.0,0.16071428571428573,0.3035714285714286,0.21428571428571427,0.0,0.016260162601626018,0.03759398496240601,0.016129032258064516,0.12160000000000001,0.034567097523509796
161,brignre01,2016,ATL,Reid,Brignac,210,75,L,NL,13.0,6.0,29.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.20689655172413793,0.20689655172413793,4.0,0.27586206896551724,0.48275862068965514,0.3103448275862069,0.0,0.024390243902439025,0.007518796992481203,0.0,0.1,0.034225386848112715
684,janispa01,2016,BAL,Paul,Janish,200,74,R,AL,14.0,6.0,31.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.1935483870967742,0.2857142857142857,5.0,0.22580645161290322,0.511520737327189,0.2903225806451613,0.0,0.024390243902439025,0.0,0.0,0.1,0.03147128245476004
974,pachejo01,2016,CIN,Jordan,Pacheco,200,73,R,NL,31.0,8.0,51.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3b,[],0.1568627450980392,0.1568627450980392,4.0,0.23529411764705882,0.39215686274509803,0.23529411764705882,0.0,0.008130081300813009,0.0,0.0,0.10360000000000001,0.025218747010999524
898,moranco01,2016,HOU,Colin,Moran,204,76,L,AL,9.0,3.0,23.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.13043478260869565,0.2,2.0,0.17391304347826086,0.3739130434782609,0.1956521739130435,0.0,0.008130081300813009,0.015037593984962405,0.0,0.1,0.021881984919881893
883,middlwi01,2016,MIL,Will,Middlebrooks,220,75,R,NL,10.0,3.0,27.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.1111111111111111,0.22580645161290322,3.0,0.1111111111111111,0.3369175627240143,0.16666666666666666,0.0,0.016260162601626018,0.007518796992481203,0.0,0.1,0.01904456262607739
1429,walshco02,2016,MIL,Colin,Walsh,200,73,B,NL,38.0,4.0,47.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,15.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,2.0,0.0,3b,['3b'],0.0851063829787234,0.31746031746031744,3.0,0.10638297872340426,0.4238432961837217,0.12765957446808512,0.0,0.032520325203252036,0.015037593984962405,0.0,0.1,0.017521749365629957
211,candeje01,2016,CHN,Jeimer,Candelario,210,73,B,NL,5.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.09090909090909091,0.2857142857142857,1.0,0.09090909090909091,0.37662337662337664,0.13636363636363638,0.0,0.0,0.0,0.0,0.1,0.01363636363636364
474,gallojo01,2016,TEX,Joey,Gallo,235,77,L,AL,17.0,1.0,25.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3b,[],0.04,0.2,0.0,0.16,0.36,0.060000000000000005,0.02127659574468085,0.016260162601626018,0.007518796992481203,0.016129032258064516,0.1,0.01211845875968526
175,burnsan01,2016,TOR,Andy,Burns,190,74,R,AL,10.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3b,[],0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.016260162601626018,0.0,0.0,0.1,0.0016260162601626018
1233,sandopa01,2016,BOS,Pablo,Sandoval,255,71,B,AL,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.1,0.0
384,duffyma02,2016,HOU,Matt,Duffy,215,75,R,AL,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
361,dominma01,2016,TOR,Matt,Dominguez,220,74,R,AL,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,[],0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0
