,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
1290,solando01,2016,NYA,Donovan,Solano,205,70,R,AL,9.0,5.0,22.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2012-05-21,Colombia,2b,[],0.22727272727272727,0.2608695652173913,2.0,0.45454545454545453,0.7154150197628458,0.34090909090909094,0.02127659574468085,0.04065040650406504,0.015037593984962405,0.0,0.1,0.04178736871427993
444,floripe01,2016,PIT,Pedro,Florimon,185,74,B,NL,18.0,5.0,24.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2011-09-10,D.R.,2b,[],0.20833333333333334,0.24,3.0,0.3333333333333333,0.5733333333333333,0.31250000000000006,0.0,0.032520325203252036,0.03007518796992481,0.0,0.1,0.037509551317317695
64,asuajca01,2016,SDN,Carlos,Asuaje,160,69,L,NL,7.0,5.0,24.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-09-21,Venezuela,2b,[],0.20833333333333334,0.24,3.0,0.2916666666666667,0.5316666666666667,0.31250000000000006,0.0,0.016260162601626018,0.015037593984962405,0.0,0.1,0.03437977565865885
1458,worthda01,2016,HOU,Danny,Worth,195,73,R,AL,16.0,7.0,39.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2010-05-16,USA,2b,[],0.1794871794871795,0.2,5.0,0.23076923076923078,0.4307692307692308,0.2692307692307693,0.0,0.032520325203252036,0.007518796992481203,0.0,0.1,0.030926989142650255
1431,weeksje01,2016,SDN,Jemile,Weeks,170,69,B,NL,17.0,7.0,50.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0,3.0,14.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-06-07,USA,2b,['2b'],0.14,0.2037037037037037,5.0,0.2,0.4037037037037037,0.21000000000000002,0.0,0.04065040650406504,0.015037593984962405,0.016129032258064516,0.1,0.0281817032747092
437,figueco01,2016,PIT,Cole,Figueroa,185,70,L,NL,23.0,4.0,26.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2014-05-16,USA,2b,[],0.15384615384615385,0.18518518518518517,4.0,0.15384615384615385,0.33903133903133903,0.23076923076923078,0.0,0.0,0.022556390977443608,0.016129032258064516,0.1,0.026945465400473892
699,johnsmi04,2016,LAN,Micah,Johnson,210,72,L,NL,7.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2015-04-06,USA,2b,[],0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.25,0.0,0.008130081300813009,0.0,0.0,0.1,0.025813008130081302
1059,pireljo01,2016,SDN,Jose,Pirela,220,72,R,NL,15.0,6.0,39.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2014-09-22,Venezuela,2b,['2b'],0.15384615384615385,0.175,4.0,0.20512820512820512,0.3801282051282051,0.23076923076923078,0.0,0.016260162601626018,0.0,0.0,0.1,0.024702939337085682
432,feathta01,2016,PHI,Taylor,Featherston,185,73,R,NL,19.0,3.0,26.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-04-12,USA,2b,[],0.11538461538461539,0.17857142857142858,2.0,0.15384615384615385,0.33241758241758246,0.1730769230769231,0.0,0.016260162601626018,0.007518796992481203,0.03225806451612903,0.1,0.022911394718715936
179,burriem01,2016,PHI,Emmanuel,Burriss,190,72,B,NL,39.0,5.0,45.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,10.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,2008-04-20,USA,2b,[],0.1111111111111111,0.1836734693877551,3.0,0.17777777777777778,0.3614512471655329,0.16666666666666666,0.0,0.024390243902439025,0.0,0.016129032258064516,0.1,0.020718594282717023
1106,quereju01,2016,TBA,Juniel,Querecuto,155,69,B,AL,4.0,1.0,11.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2016-09-22,Venezuela,2b,[],0.09090909090909091,0.09090909090909091,0.0,0.2727272727272727,0.36363636363636365,0.13636363636363638,0.0,0.008130081300813009,0.015037593984962405,0.0,0.1,0.01595313116494118
816,marrede01,2016,BOS,Deven,Marrero,195,73,R,AL,13.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2015-06-28,USA,2b,[],0.08333333333333333,0.21428571428571427,1.0,0.08333333333333333,0.2976190476190476,0.125,0.0,0.0,0.0,0.0,0.1,0.0125
885,millemi01,2016,BOS,Mike,Miller,170,69,R,AL,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-27,USA,2b,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
